pl_name,default_flag,disc_facility,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,sy_dist,sy_vmag
HD 114783 b,1,W. M. Keck Observatory,2001.0,493.7,1.16,,,,5135.0,,,198.1818436,-2.2649921,21.0628,7.56
HD 12661 c,1,Multiple Observatories,2002.0,1708.0,2.8145,,,,5748.0,,1.11,31.1423525,25.4135632,37.8478,7.43
HD 27894 c,1,La Silla Observatory,2017.0,36.07,0.198,,,,,,,65.1975693,-59.4096776,43.8214,9.36
TOI-4010 b,1,Transiting Exoplanet Survey Satellite (TESS),2023.0,1.348335,0.0229,3.02,1441.0,714.0,4960.0,4.54,0.83,20.2148196,66.0722009,177.504,12.291
HD 12661 b,1,Multiple Observatories,2000.0,262.70862,0.84,,,,5645.0,4.36,1.2,31.1423525,25.4135632,37.8478,7.43
HD 68988 b,1,Multiple Observatories,2001.0,6.27711,0.07,,,,5932.0,4.4,1.19,124.5935429,61.4608518,60.8447,8.2
HD 24040 b,1,W. M. Keck Observatory,2006.0,3668.0,4.92,,,,5802.0,4.26,1.3,57.5962104,17.4752873,46.6224,7.515
TOI-2384 b,1,Transiting Exoplanet Survey Satellite (TESS),2024.0,2.13570304,0.02793,11.48920522,889.7,104.3,3943.0,4.66,0.6113,36.1561463,-65.0001957,191.51,15.103
HAT-P-28 b,1,HATNet,2011.0,3.257215,0.0434,13.585,1384.0,,5680.0,4.36,1.103,13.0009159,34.728402,401.319,13.098
NN Ser d,1,Multiple Observatories,2010.0,2880.0,,,,,,,,238.2337015,12.9120871,515.818,16.943
NGTS-10 b,1,Next-Generation Transit Survey (NGTS),2020.0,0.7668944,0.0143,13.506845,1332.0,,4600.0,4.595,0.697,91.8722801,-25.5948963,,14.506
HD 156279 c,1,W. M. Keck Observatory,2018.0,4818.25358,5.486,,,,,,,258.0966686,63.3527828,36.1945,8.07
HD 168443 b,1,W. M. Keck Observatory,1998.0,58.11187,0.292,,,,,,,275.0159879,-9.5966905,39.6245,6.92122
HD 72659 c,1,Multiple Observatories,2022.0,35500.0,21.5,,,,5929.0,4.23,1.36,128.5128072,-1.5686323,51.8949,7.46
HD 72659 b,1,W. M. Keck Observatory,2002.0,3549.0,4.607,,,,5929.0,4.23,1.36,128.5128072,-1.5686323,51.8949,7.46
HD 24040 c,1,Multiple Observatories,2021.0,515.4,1.3,,,,5776.49,4.197486,1.387296,57.5962104,17.4752873,46.6224,7.515
HD 68988 c,1,Multiple Observatories,2021.0,16000.0,13.2,,,,5883.41,4.309234,1.255733,124.5935429,61.4608518,60.8447,8.2
HD 62364 c,1,Multiple Observatories,2022.0,74839.94555,36.984,,,,,,,113.9052658,-75.5442707,53.112,7.32
HD 168443 c,1,W. M. Keck Observatory,2000.0,1753.1096,2.842,,,,,,,275.0159879,-9.5966905,39.6245,6.92122
HD 168863 b,1,Multiple Observatories,2022.0,14773.93272,10.961,,,,,,,275.6642157,-18.0219726,39.8979,9.35
HD 181234 b,1,La Silla Observatory,2019.0,7593.40512,7.427,,,,,,,289.9998695,-9.32497,47.7458,8.59
HD 183263 b,1,W. M. Keck Observatory,2004.0,624.87404,1.46,,,,,,,292.1022982,8.3579183,54.1955,7.86
HD 183263 c,1,W. M. Keck Observatory,2008.0,4667.97841,5.585,,,,,,,292.1022982,8.3579183,54.1955,7.86
HD 66428 b,1,W. M. Keck Observatory,2005.0,2269.81726,3.395,,,,,,,120.8691654,-1.1636019,53.2817,8.25
HD 3167 d,1,Multiple Observatories,2017.0,8.4112,0.0763,,,,5261.0,,0.88,8.7401487,4.3807215,47.2899,8.97
HD 3167 e,1,CHaracterising ExOPlanets Satellite (CHEOPS),2022.0,96.63,0.3885,,,,5261.0,,0.88,8.7401487,4.3807215,47.2899,8.97
HD 3167 b,1,K2,2016.0,0.959641,0.01796,1.67,1774.0,1650.0,5261.0,,0.88,8.7401487,4.3807215,47.2899,8.97
