pl_name,default_flag,disc_facility,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,sy_dist,sy_vmag,st_lum,pl_insol_calc,hz_inner_limit,hz_outer_limit,is_habitable
HD 114783 b,1,W. M. Keck Observatory,2001.0,493.7,1.16,,,,5135.0,,,198.1818436,-2.2649921,21.0628,7.56,,,1.0295543202244932,0.31766514367676163,0
HD 12661 c,1,Multiple Observatories,2002.0,1708.0,2.8145,,,0.15212449017050042,5748.0,,1.11,31.1423525,25.4135632,37.8478,7.43,1.205040495712626,0.15212449017050042,1.1027540494117436,0.35402712295969263,0
HD 27894 c,1,La Silla Observatory,2017.0,36.07,0.198,,,,,,,65.1975693,-59.4096776,43.8214,9.36,,,,,0
TOI-4010 b,1,Transiting Exoplanet Survey Satellite (TESS),2023.0,1.348335,0.0229,3.02,1441.0,714.0,4960.0,4.54,0.83,20.2148196,66.0722009,177.504,12.291,0.3735696082988847,712.361717547119,1.01210763822544,0.308050842607152,0
HD 12661 b,1,Multiple Observatories,2000.0,262.70862,0.84,,,1.8567282761141208,5645.0,4.36,1.2,31.1423525,25.4135632,37.8478,7.43,1.3101074716261234,1.8567282761141208,1.0893257544126431,0.34770777922170665,0
HD 68988 b,1,Multiple Observatories,2001.0,6.27711,0.07,,,320.62033127004617,5932.0,4.4,1.19,124.5935429,61.4608518,60.8447,8.2,1.5710396232232264,320.62033127004617,1.1275812363413462,0.36540762234616503,0
HD 24040 b,1,W. M. Keck Observatory,2006.0,3668.0,4.92,,,0.0708852774018164,5802.0,4.26,1.3,57.5962104,17.4752873,46.6224,7.515,1.7158773788993285,0.0708852774018164,1.1099379582840676,0.35735840764914517,0
TOI-2384 b,1,Transiting Exoplanet Survey Satellite (TESS),2024.0,2.13570304,0.02793,11.48920522,889.7,104.3,3943.0,4.66,0.6113,36.1561463,-65.0001957,191.51,15.103,0.08092906934470001,103.74392498137064,0.9451420943939693,0.2618470423140944,0
HAT-P-28 b,1,HATNet,2011.0,3.257215,0.0434,13.585,1384.0,602.3564360095205,5680.0,4.36,1.103,13.0009159,34.728402,401.319,13.098,1.1345744886100926,602.3564360095205,1.0938461149,0.34984912227,0
NN Ser d,1,Multiple Observatories,2010.0,2880.0,,,,,,,,238.2337015,12.9120871,515.818,16.943,,,,,0
NGTS-10 b,1,Next-Generation Transit Survey (NGTS),2020.0,0.7668944,0.0143,13.506845,1332.0,953.0451032962848,4600.0,4.595,0.697,91.8722801,-25.5948963,,14.506,0.19488819317305728,953.0451032962848,0.98173045000144,0.28972043069035197,0
HD 156279 c,1,W. M. Keck Observatory,2018.0,4818.25358,5.486,,,,,,,258.0966686,63.3527828,36.1945,8.07,,,,,0
HD 168443 b,1,W. M. Keck Observatory,1998.0,58.11187,0.292,,,,,,,275.0159879,-9.5966905,39.6245,6.92122,,,,,0
